label,text_len,text_punct,text_cap,raw_text
ham,80,0.087,0.05,No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-)   
ham,28,0.25,0.036,S s..first time..dhoni rocks...   
ham,19,0.0,0.053,Ok ill tell the company   
ham,47,0.043,0.021,"Awesome, think we can get an 8th at usf some time tonight?   "
ham,30,0.0,0.033,So that means you still think of teju   
ham,47,0.064,0.064,"No I'm good for the movie, is it ok if I leave in an hourish?   "
ham,51,0.098,0.02,No no:)this is kallis home ground.amla home town is durban:)   
ham,45,0.022,0.022,So lets make it saturday or monday as per convenience.   
ham,56,0.089,0.054,Hey... What time is your driving on fri? We go for evaluation on fri?   
spam,60,0.067,0.033,"449050000301 You have won a å£2,000 price! To claim, call 09050000301.   "
ham,56,0.036,0.018,I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.   
spam,130,0.046,0.238,"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16   "
ham,35,0.057,0.029,Cancel cheyyamo?and get some money back?   
spam,125,0.0,0.04,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow   
ham,32,0.156,0.031,Ok.ok ok..then..whats ur todays plan   
ham,30,0.067,0.067,Good morning princess! How are you?   
ham,28,0.107,0.036,Aiyar sorry lor forgot 2 tell u...   
spam,127,0.047,0.055,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p   
ham,63,0.048,0.048,Not tonight mate. Catching up on some sleep. This is my new number by the way.    
ham,100,0.17,0.04,"Height of \Oh shit....!!\"" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay .;-):-D""  "
spam,87,0.046,0.092,Ur HMV Quiz cash-balance is currently å£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg   
ham,54,0.037,0.019,"So check your errors and if you had difficulties, do correction.   "
ham,21,0.143,0.048,Howz pain?hope u r fine..   
ham,19,0.105,0.105,"Sorry, I'll call later   "
ham,30,0.067,0.067,Good morning princess! How are you?   
ham,125,0.104,0.088,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.   "
ham,46,0.065,0.043,U wake up already? Thanx 4 e tau sar piah it's quite nice.   
ham,24,0.0,0.083,K do I need a login or anything   
spam,102,0.039,0.078,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.   
ham,19,0.158,0.211,LOL ... No just was busy   
ham,14,0.143,0.071,What * u wearing?   
ham,132,0.068,0.076,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com   
ham,35,0.086,0.029,Oh:)as usual vijay film or its different?   
spam,131,0.099,0.153,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.   
ham,64,0.031,0.031,Have you had a good day? Mine was really busy are you up to much tomorrow night?   
ham,68,0.044,0.029,And is there a way you can send shade's stuff to her. And she has been wonderful too.   
ham,91,0.143,0.055,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(   
spam,98,0.031,0.082,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832   "
ham,19,0.368,0.105,Babe ? I lost you ... :-(   
ham,36,0.139,0.056,Ok... Help me ask if she's working tmr a not?   
ham,58,0.121,0.052,I'm not driving... Raining! Then i'll get caught at e mrt station lor.   
ham,17,0.0,0.059,Not a drop in the tank   
ham,35,0.086,0.029,(That said can you text him one more time?)   
ham,19,0.105,0.105,"Sorry, I'll call later   "
ham,18,0.167,0.056,Ok i go change also...   
spam,111,0.072,0.045,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(å£1.50p. m)   
ham,58,0.034,0.034,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.   
ham,74,0.027,0.027,"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up   "
ham,57,0.105,0.07,Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee   
ham,115,0.043,0.035,He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment   
ham,27,0.259,0.074,Hey! There's veggie pizza... :/   
ham,44,0.136,0.045,Yun buying... But school got offer 2000 plus only...   
ham,33,0.0,0.03,You sure your neighbors didnt pick it up   
ham,18,0.056,0.111,K. I will sent it again   
spam,128,0.047,0.078,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's   
ham,119,0.118,0.168,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!   "
ham,46,0.043,0.065,Well. Im computerless. Time to make some oreo truffles   
ham,33,0.03,0.061,"Haha yeah I see that now, be there in a sec   "
ham,24,0.0,0.042,I am not having her number sir   
ham,32,0.062,0.062,Lol now I'm after that hot air balloon!   
ham,54,0.074,0.037,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow   
ham,116,0.034,0.06,Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil   
ham,60,0.017,0.017,"Yeah, we can probably swing by once my roommate finishes up with his girl   "
spam,128,0.078,0.133,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!   "
ham,20,0.05,0.05,Happy new years melody!   
ham,20,0.05,0.1,ÌÏ dun need to pick ur gf?   
ham,48,0.042,0.042,Yay! You better not have told that to 5 other girls either.   
ham,118,0.059,0.034,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?   
ham,129,0.023,0.047,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q?    "
ham,20,0.1,0.05,Just nw i came to hme da..   
ham,55,0.055,0.018,"I'm outside islands, head towards hard rock and you'll run into me   "
ham,28,0.036,0.036,To day class is there are no class.   
ham,23,0.13,0.043,I'm in chennai velachery:)   
ham,22,0.045,0.045,You flippin your shit yet?   
ham,38,0.158,0.026,"K give me a sec, breaking a  &lt;#&gt;  at cstore   "
ham,30,0.033,0.033,Am i that much bad to avoid like this?   
ham,29,0.069,0.069,"Yo, you around? Just got my car back   "
ham,16,0.125,0.062,Annoying isn't it.   
ham,40,0.175,0.05,"Goodmorning, Today i am late for  &lt;#&gt; min.   "
ham,54,0.037,0.019,There's no point hangin on to mr not right if he's not makin u happy   
ham,63,0.048,0.016,All will come alive.better correct any good looking figure there itself..   
ham,39,0.026,0.077,In that case I guess I'll see you at campus lodge   
ham,12,0.333,0.083,We're done...   
ham,50,0.04,0.04,Come to my home for one last time i wont do anything. Trust me.   
ham,107,0.028,0.019,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.   
spam,126,0.056,0.111,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 å£3/wk 087016248   
ham,11,0.545,0.182,Ok... C ya...   
spam,42,0.024,0.048,You have 1 new voicemail. Please call 08719181503   
ham,60,0.033,0.033,What he said is not the matter. My mind saying some other matter is there.   
ham,38,0.053,0.053,He also knows about lunch menu only da. . I know   
ham,108,0.046,0.019,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx   "
ham,137,0.182,0.124,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;   
ham,35,0.086,0.029,Otherwise had part time job na-tuition..   
ham,16,0.0,0.062,I know she called me   
ham,49,0.041,0.02,"Me also da, i feel yesterday night  wait til 2day night dear.   "
ham,52,0.058,0.038,Thanks for understanding. I've been trying to tell sura that.   
spam,122,0.049,0.115,WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3   
ham,106,0.028,0.028,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.   
spam,120,0.067,0.117,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr   "
ham,29,0.103,0.034,I need you to be in my strong arms...   
ham,26,0.0,0.038,Also maaaan are you missing out   
ham,21,0.048,0.048,His bday real is in april .   
ham,34,0.059,0.029,Guessin you ain't gonna be here before 9?   
ham,38,0.0,0.026,Ok then i will come to ur home after half an hour   
ham,42,0.048,0.048,"Yo, the game almost over? Want to go to walmart soon   "
ham,100,0.06,0.04,"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!   "
ham,51,0.059,0.039,I'll text now! All creepy like so he won't think that we forgot   
ham,71,0.07,0.042,"that would be good Û_ I'll phone you tomo lunchtime, shall I, to organise something?   "
spam,43,0.047,0.047,You have 1 new voicemail. Please call 08719181513.   
ham,56,0.018,0.018,"Damn, can you make it tonight or do you want to just wait til tomorrow   "
ham,48,0.167,0.021,K..k..i'm also fine:)when will you complete the course?   
ham,95,0.053,0.042,"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier.   "
spam,113,0.062,0.124,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info   
ham,19,0.053,0.053,Prakesh is there know.   
ham,35,0.057,0.057,Teach me apps da. When you come to college.   
ham,38,0.0,0.026,Rofl betta invest in some  anti aging products   
spam,120,0.025,0.017,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810   
ham,62,0.048,0.016,"sir, you will receive the account no another 1hr time. Sorry for the delay.   "
spam,137,0.022,0.153,Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p   
ham,36,0.083,0.056,So Ì_'ll be submitting da project tmr rite?   
spam,103,0.049,0.136,FREE entry into our å£250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.   
ham,25,0.12,0.08,Jus ans me lar. U'll noe later.   
ham,61,0.115,0.016,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.   
ham,39,0.103,0.0,have got * few things to do. may be in * pub later.   
ham,23,0.087,0.0,1's finish meeting call me.   
ham,28,0.107,0.071,Lol ok. I'll snatch her purse too.   
ham,109,0.11,0.009,"\Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx\""""   "
ham,111,0.108,0.099,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..   
ham,20,0.05,0.05,How much are we getting?   
ham,25,0.04,0.04,Is ur paper in e morn or aft tmr?   
ham,53,0.038,0.019,"Dear relieved of westonzoyland, all going to plan this end too!   "
ham,78,0.038,0.038,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.   
ham,39,0.077,0.103,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?   
ham,48,0.083,0.021,"I want to show you the world, princess :) how about europe?   "
ham,43,0.0,0.047,Nobody can decide where to eat and dad wants Chinese   
ham,36,0.139,0.056,No shoot me. I'm in the docs waiting room. :/   
ham,28,0.143,0.071,Now? I'm going out 4 dinner soon..   
ham,44,0.0,0.023,Hello which the site to download songs its urgent pls   
ham,89,0.067,0.045,"I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep!    "
ham,48,0.062,0.062,Horrible gal. Me in sch doing some stuff. How come u got mc?   
ham,126,0.056,0.905,"HI HUN! IM NOT COMIN 2NITE-TELL EVERY1 IM SORRY 4 ME, HOPE U AVA GOODTIME!OLI RANG MELNITE IFINK IT MITE B SORTED,BUT IL EXPLAIN EVERYTHIN ON MON.L8RS.x   "
ham,45,0.111,0.044,"I call you later, don't have network. If urgnt, sms me.   "
ham,70,0.029,0.214,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear   
spam,69,0.0,0.072,Please CALL 08712402779 immediately as there is an urgent message waiting for you   
ham,68,0.0,0.015,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour   
ham,67,0.09,0.03,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...    
ham,22,0.045,0.045,What your plan for pongal?   
ham,47,0.043,0.043,Just wait till end of march when el nino gets himself. Oh.   
ham,38,0.158,0.026,"Not yet chikku..going to room nw, i'm in bus..   "
ham,34,0.059,0.059,Am also doing in cbe only. But have to pay.   
ham,20,0.1,0.1,Honey boo I'm missing u.   
ham,80,0.013,0.1,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us   "
ham,57,0.088,0.053,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem   "
ham,145,0.055,0.041,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!   "
spam,101,0.069,0.03,"Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)   "
ham,44,0.114,0.068,Ok. No wahala. Just remember that a friend in need ...   
ham,20,0.0,0.05,I will see in half an hour   
ham,138,0.029,0.022,"Im in inperialmusic listening2the weirdest track ever byåÓleafcutter johnåÓ-sounds like insects being molested&someone plumbing,remixed by evil men on acid!   "
ham,103,0.058,0.029,"\Hey sorry I didntgive ya a a bellearlier hunny just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx.\""""  "
ham,41,0.049,0.951,SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW.   
spam,121,0.017,0.223,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Callså£1/minmoremobsEMSPOBox45PO139WA   
ham,33,0.091,0.061,"Tee hee. Off to lecture, cheery bye bye.   "
ham,63,0.048,0.016,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u..   "
ham,91,0.0,0.011,If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number   
ham,5,0.6,0.2,Ok...   
spam,55,0.091,0.073,network operator. The service is free. For T & C's visit 80488.biz   
ham,64,0.062,0.047,Let me know how to contact you. I've you settled in a room. Lets know you are ok.   
ham,15,0.067,0.067,Wot u up 2 u weirdo?   
ham,11,0.273,0.091,Can do lor...   
ham,30,0.0,0.033,Dont put your phone on silent mode ok   
ham,50,0.12,0.08,Can i meet Ì_ at 5.. As 4 where depends on where Ì_ wan 2 in lor..   
ham,55,0.073,0.036,Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?   
ham,43,0.023,0.047,Oh ho. Is this the first time u use these type of words   
ham,37,0.054,0.054,Am I the only one who doesn't stalk profiles?   
ham,129,0.124,0.124,"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt""   "
ham,21,0.095,0.095,Yes i thought so. Thanks.   
ham,23,0.13,0.043,But if she.s drinkin i'm ok.   
ham,34,0.029,0.029,"Just wondering, the others just took off   "
ham,126,0.024,0.024,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng   "
ham,106,0.038,0.038,"What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?   "
ham,19,0.053,0.053,Happy new year to u too!   
ham,59,0.169,0.068,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May   "
ham,48,0.125,0.062,Eat jap done oso aft ur lect wat... ÌÏ got lect at 12 rite...    
ham,70,0.043,0.029,"Hey babe! I saw you came online for a second and then you disappeared, what happened ?   "
ham,140,0.021,0.029,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes   
ham,41,0.146,0.049,Happy birthday... May all ur dreams come true...   
ham,39,0.051,0.051,Aiyah u did ok already lar. E nydc at wheellock?   
ham,20,0.05,0.95,TELL HER I SAID EAT SHIT.   
ham,45,0.044,0.044,Sure! I am driving but will reach my destination soon.   
ham,29,0.103,0.103,"K so am I, how much for an 8th? Fifty?   "
ham,37,0.0,0.081,Your daily text from me ÛÒ a favour this time   
ham,53,0.057,0.038,Great to hear you are settling well. So what's happenin wit ola?   
ham,111,0.009,0.018,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one   
ham,29,0.103,0.069,I tot u reach liao. He said t-shirt.   
ham,102,0.029,0.941,"FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT   "
ham,41,0.024,0.049,I cant pick the phone right now. Pls send a message   
ham,41,0.073,0.049,Your right! I'll make the appointment right now.   
ham,53,0.038,0.019,Designation is software developer and may be she get chennai:)   
spam,140,0.064,0.014,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186    
spam,128,0.055,0.055,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply   "
ham,38,0.105,0.105,I jokin oni lar.. ÌÏ busy then i wun disturb Ì_.   
ham,31,0.129,0.065,"Ok, be careful ! Don't text and drive !   "
ham,81,0.074,0.037,"I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it.   "
ham,64,0.047,0.047,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.   
ham,66,0.045,0.061,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie   
ham,32,0.031,0.031,How abt making some of the pics bigger?   
ham,98,0.051,0.031,Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now.   
ham,125,0.088,0.048,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)   "
ham,30,0.033,0.067,Why nothing. Ok anyway give me treat   
spam,115,0.043,0.113,"Win the newest ÛÏHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!   "
ham,5,0.6,0.2,Ok...   
ham,25,0.04,0.08,Correct. So how was work today   
ham,47,0.064,0.043,"Just sent again. Do you scream and moan in bed, princess?   "
ham,45,0.111,0.044,"I wake up long ago already... Dunno, what other thing?   "
ham,28,0.179,0.036,Oh just getting even with u.... u?   
ham,67,0.06,0.045,I thk 50 shd be ok he said plus minus 10.. Did Ì_ leave a line in between paragraphs?   
ham,111,0.045,0.027,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz   
ham,29,0.034,0.034,Yeah jay's sort of a fucking retard   
ham,26,0.077,0.038,"Sorry, was in the bathroom, sup   "
spam,101,0.079,0.119,Ur balance is now å£500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!   
ham,38,0.053,0.053,My exam is for february 4. Wish you a great day.   
ham,74,0.014,0.014,I dont know what to do to come out of this so only am ask questions like this dont mistake me.   
ham,22,0.091,0.091,"Aight no rush, I'll ask jay   "
ham,23,0.0,0.087,Good Morning plz call me sir   
ham,34,0.235,0.088,It's ok lar. U sleep early too... Nite...   
ham,35,0.286,0.086,"Oh... Icic... K lor, den meet other day...   "
ham,116,0.052,0.06,"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*   "
ham,134,0.067,0.075,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)   "
ham,65,0.031,0.031,"Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that   "
ham,36,0.111,0.083,Then she buying today? ÌÏ no need to c meh...   
ham,46,0.065,0.065,Aight sorry I take ten years to shower. What's the plan?   
ham,36,0.111,0.028,Every monday..nxt week vl be completing..   
ham,19,0.053,0.053,Might ax well im there.   
ham,91,0.022,0.033,Just chill for another 6hrs. If you could sleep the pain is not a surgical emergency so see how it unfolds. Okay   
ham,32,0.031,0.062,Yeah I'll try to scrounge something up   
ham,128,0.062,0.039,Crazy ar he's married. ÌÏ like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.   
ham,29,0.0,0.069,Were somewhere on Fredericksburg   
ham,39,0.0,0.026,Que pases un buen tiempo or something like that   
ham,65,0.031,0.062,Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired   
ham,21,0.048,0.048,She doesnt need any test.   
ham,43,0.07,0.047,"Nothing much, chillin at home. Any super bowl plan?   "
spam,130,0.054,0.131,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 å£3/wk   "
ham,18,0.167,0.056,Bugis oso near wat...    
ham,25,0.04,0.04,Yo theres no class tmrw right?   
ham,97,0.062,0.289,Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in world....gnun - Sent via WAY2SMS.COM   
ham,45,0.067,0.044,"Goodnight, sleep well da please take care pa. Please.   "
ham,65,0.092,0.062,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...   
ham,20,0.0,0.05,Convey my regards to him   
ham,66,0.0,0.015,U ned to convince him tht its not possible witot hurting his feeling its the main   
ham,121,0.033,0.033,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy   "
ham,106,0.028,0.019,If i start sending blackberry torch to nigeria will you find buyer for me?like 4a month. And tell dad not to buy bb from anyone oh.   
ham,262,0.107,0.011,"&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...   "
ham,40,0.0,0.025,Yo dude guess who just got arrested the other day   
ham,53,0.057,0.057,Shuhui say change 2 suntec steamboat? U noe where? Where r u now?   
ham,24,0.042,0.042,What does the dance river do?   
ham,166,0.036,0.024,"Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger.   "
ham,91,0.066,0.044,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt   
spam,83,0.036,0.349,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k   "
ham,39,0.026,0.051,Bbq this sat at mine from 6ish. Ur welcome 2 come   
ham,89,0.056,0.022,"I don't know, same thing that's wrong everyso often, he panicks starts goin on bout not bein good enough Û_   "
ham,31,0.161,0.065,Alright. I'm out--have a good night!   
ham,27,0.037,0.037,Did you try making another butt.   
ham,41,0.049,0.073,Hope you are feeling great. Pls fill me in. Abiola   
ham,62,0.016,0.048,I though we shd go out n have some fun so bar in town or something ÛÒ sound ok?   
ham,117,0.154,0.068,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)   "
spam,125,0.088,0.056,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324   "
spam,133,0.083,0.226,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION   "
ham,20,0.05,0.05,We're finally ready fyi   
ham,33,0.0,0.03,Auntie huai juan never pick up her phone   
spam,136,0.044,0.096,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56   
ham,21,0.143,0.048,"Ya tel, wats ur problem..   "
spam,113,0.062,0.124,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info   
ham,16,0.0,0.0,i dnt wnt to tlk wid u   
ham,127,0.102,0.024,"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. \paths are made by walking.. not by waiting..\"" Goodnight!""   "
ham,55,0.0,0.018,Its ok my arm is feeling weak cuz i got a shot so we can go another time   
ham,172,0.052,0.006,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..   
ham,249,0.165,0.092,"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person  bt not his girlfrnd... G o o d n i g h t . . .@""  "
ham,93,0.054,0.032,That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?   
ham,21,0.048,0.048,All e best 4 ur exam later.   
ham,111,0.036,0.027,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.   
ham,37,0.054,0.027,Oh k.i think most of wi and nz players unsold.   
ham,92,0.098,0.033,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.   "
ham,120,0.05,0.042,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy   "
ham,30,0.033,0.033,"Haha just kidding, papa needs drugs   "
ham,66,0.167,0.045,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...   "
ham,6,0.333,0.167,Oh ok..   
ham,30,0.033,0.033,R we still meeting 4 dinner tonight?   
ham,60,0.033,0.033,Thats cool! I am a gentleman and will treat you with dignity and respect.   
ham,20,0.05,0.05,Shall i start from hear.   
ham,38,0.158,0.053,Then we wait 4 u lor... No need 2 feel bad lar...   
ham,39,0.026,0.051,No did you check? I got his detailed message now   
ham,127,0.079,0.118,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.   
ham,76,0.013,0.026,"No, I decided that only people who care about stuff vote and caring about stuff is for losers   "
ham,82,0.195,0.061,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...   
ham,127,0.079,0.118,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.   
ham,41,0.049,0.024,cool. We will have fun practicing making babies!   
ham,36,0.028,0.028,Actually getting ready to leave the house.   
ham,22,0.227,0.045,K..k..any special today?   
